text_customer,text_delta,ground_truth_intent,escalate_boolean,escalation_reason
@Delta I got to my gate 2 min late ( thanks broken TSA machine) solutions?,@464009 Sorry to hear you arrived late. Please share your confirmation number via DM.  *ALA https://t.co/6iDGBJAc2m,,,
@Delta Out because my wife is upset and I call. This after the issue earlier today. Why is delta insisting on treating me like crap? (3),@179244 Hi there. I am very sorry for any inconvenience this has caused.  *HSD,,,
@Delta Comfort seats were available when I tried to speak to the gate agent who blew me off at first. Fun trip all around. No #tsaprecheck &amp; this!,"@211392 That should not have happened, and I sincerely apologize for the gate agent's actions. *CJE",,,
"@Delta Great, that doesn't help one bit. They are asking for an itinary number  that I don't have since it didn't get booked at Expedia. This sucks. Now  he has to sit and wait for 6 hours for his flight home, after being  away for five weeks. Thanks for nothing Delta.","@802064 We have no problem helping you to make the change. We suggest that since this was booked yesterday, that you go through whom it was booked through to avoid fees. If you would like him to be on the 12:19 pm flight, I can help make that happen, however, your fare rules apply. *TBW",,,
"Another week, another #traveltuesday heading back home to South Carolina aboard @delta after… https://t.co/9XuuE0mAfH","@290292 Hi, Jason. Thanks for traveling with us today. We appreciate your loyalty. See ya soon! 🚀 *TJF",,,
@Delta RE: DL 5444 still no plane or gate agent at D11 in ATL. Are you sure flight hasn’t been canceled??,"@116339 Hi Charlie, it looks like the flight has arrived at the and should be boarding. *HKC",,,
@Delta Dope! DM me for my address. I'm open to other promotional products as well 😂,@158656 You may follow us via Twitter.  *TDH,,,
@Delta terminal 3 sky club wifi is HORRIBLE!,"@316315 Oh, no. This is not good to here. Please let the agents in the Sky Club know that you are having trouble with the wifi. *HTP",,,
@Delta Oops FRA to ATL.,"@608255 I'm sorry to hear the lunch was unsatisfactory. We appreciate your feedback and will use it to improve your experience, going forward. *ASK",,,
@Delta then coffee maker on the plane was broken. Instead of arriving at 6PM Halloween I got in at 8PM. All because of your labor shortage,"@117523 I am truly sorry for the delay you experienced, Eric. Please give me one moment to look further into this. *HEM",,,
@Delta I left my (beloved) jacket on Flight 1833 yesterday (SLC to CVG). Who can I contact?,@467194 ...https://t.co/PFXvMptCcO *HEM 2/2,,,
@Delta your app isn’t working.  I can’t book flights from MSN to CUN on miles only,"@544176 Hi Ethan, I apologize the app is not working correctly. For Award bookings, you can contact our Awards department at (800) 323-2323.  *TMB",,,
"#tmw your #servicedog @31032 makes friendly with @Delta boarding staff, and you get #priorityboarding on your flight home. #travelwin #thanksgivingtravel #workingdog #shesworkingit https://t.co/a7TTRqhsbi https://t.co/jM5gI4V7ps",@283270 Thank you for flying with us. Enjoy your flight.  *ATJ,,,
"@Delta Delta Gold, so Delta only got one of my bags switched during a connection, what gives?  2nd checked bag on a diff flight, what gives?",@342267 Hi Matthew. I am so sorry for the inconvenience. Have you filed a claim with Baggage Service at the airport? *TKR,,,
On the escalator to terminal A. 7 minutes into boarding. Fuckers better let my sweaty ass on this plane! @Delta,"@219872 Hi, Michelle, so happy to hear you made your connection. Have a great flight!  *TRR",,,
@Delta I think I’m all set. She was able to make the change for me but I am waiting on a seat for my connection,@201164 ...should be able to check in.  *HKS 2/2,,,
@Delta I need my skymiles acct unlocked/pw reset 2674642281 haven’t flown with y’all in a bit and I want to put my known traveler # in,@187962 Uh oh! We certainly hate when that happens. I'd be happy to assist you with that. Can you please DM conf here #? 😃 *TJN... 1/2,,,
"called the advertised number for @339433 and asked to book a flight. The agent booked the flight but confirmation came from @Delta. I didn’t want DL or else I would have called them. For both companies, why are you misleading your customers?","@606052 Hi, there. Our apologies for the misunderstanding. If you would, please share your confirmation number via the link below for review.  *AFN https://t.co/6iDGBJAc2m",,,
@Delta whats the point of having an upgrade list if you don't follow it?  4 seats open STT to ATL but the first 4 om the list don't get the UG?,"@727635 Hi, Mark, I'm sorry to hear your disappointment. I looked over the cleared list and the 4 seats were given to customers that were confirmed on a purchased First Class ticket that were awaiting seats at the gate because they were a group of 4 trying to sit together.  *TRR",,,
#DeltaProud to be part of the @Delta #Delta #A350FirstFlyersClub this Monday! #KeepClimbing https://t.co/jqf8UVKn74,@136892 Congrats and Happy Travels! *HJH,,,
I also want to thank @Delta for casually fuckin up my day 🙃. Fix your planes please and don’t be vague with details when it comes to our safety 😉.,"@791332 Hi Jeffrey, I am very sorry for the delay that is causing an interruption of your travel. If we can be of any assistance rebooking, please DM your confirm #.  *TJW https://t.co/6iDGBJAc2m",,,
@Delta how does my friend purchase a basic economy seat and get exit row seating when i purchased an economy ticket and got worse seating? #AreYouSerious?,"@622877 Hi Nick, basic economy seats are the seats that were left over. it so happened that exit row seats is what were left over. *TMC",,,
"Hey @Delta, you need to really thank the gate agents @18046 for working through the broken plane situation this morning.","@245367 Thanks, we're glad to know we're exceeding our expectations. *AJY",,,
@Delta I have missed my meetings because we are late. You guys have to do better. I paid to upgrade my flight to first class and I am disappointed,"@127010 Please provide your confirmation number, and I will be happy to check into this for you.  *TMS https://t.co/6iDGBJAc2m",,,
@Delta @120944 Thank You I will,@271274 You're most welcome. :-) *AAB,,,
@DELTA I believe I left a sweatshirt on a plane  how would I go about getting it back?,@608440 I'm sorry to hear about that. Fill this out and that will start the process of getting your sweatshirt back.  https://t.co/PFXvMptCcO *TAC,,,
"@824 DL420 today, poor check in process. What happened to priority boarding?",@422908 I do apologize if this did not happen today.  *TMS,,,
@Delta I just managed to checking thanks,"@222261 Okay, that is great! I'm sorry for the difficulty you experienced. Thank you for reaching out to us via Twitter. Have a good day. 😊 *AJL",,,
Still sitting on this @Delta plane.... still not moving... scheduled departure 5 hours ago. Been awhile since status report. Just want to go home.,@355428 I apologize for your delay and any inconveniences that it may have caused. We are here if rebooking assistance is needed.  *ATJ,,,
@delta thanks for the middle seat when I had a perfectly good aisle seat.,"@445354 Lester, I am so sorry for the seating issue.  *HPL",,,
Lady at the desk: “I want 10k MQM because I had to get on a bus” 😂 #itsok # PPLrStupid #delay #DAL33 @delta,@213181 and the estimated time of arrival is 10:08 pm.  *HKS,,,
@Delta Some compensation for wasting my entire Friday night on-board a lukewarm jet oven and missing my connection would be nice.,"@190292 Oh my, Matt. Please follow/DM your confirmation number to this link. *ACJ https://t.co/6iDGBJAc2m",,,
@Delta Too late. Not given my seat and flight attendant blamed on me for “not checking in twice” which I did. She said I would ha e to prove it!,@388626 Very sorry to hear.  *ARD,,,
@DELTA in the clutch again for excellent customer service.  Thanks and a mighty shout out to Agent *ALS ;),@759077 We love to hear that passengers are happy with the service we provided. Have a great day. *TAS,,,
@delta much appreciation to your telephone rep Kavaughn - extremely customer centered and stellar customer service skills! 👍🏻✈️,"@518894 Thanks for the shout out, Karen. So glad Kavaughn gave you exceptional customer service.😊 *ALA",,,
"@Delta thanks, but I think rebooking is tolerable if I wasn't spending all night at an airport.
The frustrating part is that this is like the third time it's happened to me this year.",@413361 I can certainly understand your frustration. Please DM us your confirmation via this link.  *ALA https://t.co/6iDGBJAc2m,,,
@Delta I just did and it's not in there either.,"@249310 If you DM the receipt number, I'll try to send it again.  *TMS https://t.co/6iDGBJAc2m",,,
@Delta but ill be able to get through security with the boarding pass?,"@633833 Yes, there should be no problems with your name. *TBT",,,
@Delta do you regularly downgrade your full fare passengers without notification/refund? Gate agents found nothing wrong with this practice,"@540441 I'm sorry Stephanie, can you DM your confirmation # to the link provided? I will look into this.  *TBT https://t.co/6iDGBJAc2m",,,
@Delta Terrible service from #delta continues. Over 2 months now and no reasonable communication even. Kicking my lost luggage into the long grass?,@169770 I am sending another message to request an update from our Leadership Team. We truly apologize for your experience.   *HCK,,,
